YEAR,ANDHRA PRADESH,BIHAR,CHHATTISGARH,GUJARAT,HARYANA,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,ODISHA,PUNJAB,RAJASTHAN,TAMIL NADU,UTTAR PRADESH,WEST BENGAL,DELHI
2001,294,143,750,543,403,50,221,1603,1646,69,169,238,65,6319,144,386
2002,400,100,902,774,246,124,278,3178,2015,67,174,103,154,2997,164,391
2003,1194,108,555,682,321,105,196,3668,2256,132,176,145,157,2710,160,437
2004,1325,76,960,805,301,135,249,4530,2440,172,308,306,416,3250,231,558
2005,1097,131,1057,968,362,160,428,4949,2551,100,251,414,263,2852,283,590
2006,1653,80,1420,985,477,198,850,5062,3124,142,211,647,381,2653,566,1394
2007,1729,975,1081,1241,394,225,512,5305,3157,208,373,745,460,3553,343,1247
2008,1661,1363,1271,1197,325,324,666,5620,3082,199,385,732,566,5760,453,1097
2009,2060,1468,1498,980,317,315,698,5829,3086,200,889,898,657,4721,375,984
2010,2046,2414,1659,1058,274,389,698,5846,3759,218,700,749,703,3662,1009,1020
2011,2550,2859,1991,1279,198,329,1533,5586,4050,287,668,995,901,8560,1064,1199
2012,2387,2319,2059,1563,1101,607,1582,7136,4185,489,717,1248,1105,11470,1259,1351
